Year,Date,Type,Landsize,BuildingArea,Rooms2,Bathroom,Car,Suburb,Distance,Date_int,Type_int,Suburb_avg,Price,(Predict)
2016.0,2016-03-12,h,202.0,174.53,2.0,1.0,1.0,Abbotsford,2.5,1457740800.0,2.0,1031000.0,1480000.0,1537930
2016.0,2016-04-02,h,156.0,79.0,2.0,1.0,0.0,Abbotsford,2.5,1459555200.0,2.0,1031000.0,1035000.0,958221
2017.0,2017-04-03,h,134.0,150.0,3.0,2.0,0.0,Abbotsford,2.5,1491177600.0,2.0,1031000.0,1465000.0,1212957
2017.0,2017-04-03,h,94.0,140.51,3.0,2.0,1.0,Abbotsford,2.5,1491177600.0,2.0,1031000.0,850000.0,1197634
2016.0,2016-04-06,h,120.0,142.0,3.5,1.0,2.0,Abbotsford,2.5,1459900800.0,2.0,1031000.0,1600000.0,1221446
2016.0,2016-07-05,h,181.0,146.48,2.0,1.0,0.0,Abbotsford,2.5,1467676800.0,2.0,1031000.0,941000.0,984195
2016.0,2016-07-05,h,245.0,210.0,3.5,2.0,0.0,Abbotsford,2.5,1467676800.0,2.0,1031000.0,1876000.0,1772111
2016.0,2016-08-10,h,256.0,107.0,2.0,1.0,2.0,Abbotsford,2.5,1470787200.0,2.0,1031000.0,1636000.0,1246694
2016.0,2016-08-10,h,659.36,157.1,3.0,1.55,1.74,Abbotsford,2.5,1470787200.0,2.0,1031000.0,1000000.0,1045440
2016.0,2016-08-10,t,599.74,133.29,2.0,1.47,1.73,Abbotsford,2.5,1470787200.0,1.0,1031000.0,745000.0,784673
2016.0,2016-08-10,u,627.33,121.03,1.0,1.0,1.0,Abbotsford,2.5,1470787200.0,0.0,1031000.0,300000.0,376028
2016.0,2016-08-10,h,220.0,75.0,2.5,1.0,2.0,Abbotsford,2.5,1470787200.0,2.0,1031000.0,1097000.0,1230549
2016.0,2016-08-10,u,625.5,121.03,2.0,1.35,1.53,Abbotsford,2.5,1470787200.0,0.0,1031000.0,542000.0,540266
2016.0,2016-10-12,u,592.84,134.07,2.0,1.47,1.73,Abbotsford,2.5,1476230400.0,0.0,1031000.0,760000.0,773063
2016.0,2016-10-12,u,627.4,121.03,1.0,1.32,1.46,Abbotsford,2.5,1476230400.0,0.0,1031000.0,481000.0,483270
2016.0,2016-12-11,u,614.19,129.67,2.0,2.0,1.0,Abbotsford,2.5,1481414400.0,0.0,1031000.0,700000.0,731104
